orderid,date,prodnumber,prodname,categoryname,customerid,firstname,lastname,customercity,customerstate,quantity,price,total
894,2020-07-10,DK209,BYOD-550,Drone Kits,418,Annette,Eddisford,Tallahassee,Florida,5,179,895
895,2020-07-10,BP101,All Eyes Drone Blueprint,Blueprints,1427,Rainer,Hazart,Jackson,Mississippi,3,9.99,29.97
896,2020-07-10,DK205,BYOD-350,Drone Kits,1121,Jon,Pau,Miami,Florida,3,89.95,269.85
897,2020-07-10,DS307,MICR-564K Drone,Drones,1067,Isabel,Climson,Kansas City,Kansas,2,499,998
898,2020-07-10,TV813,Virtual Reality Basics,Training Videos,1208,Lemmy,Kubatsch,Fort Smith,Arkansas,5,29.99,149.95
899,2020-07-10,DS306,DX-145 Drone,Drones,1909,Eleni,Nardi,Cape Coral,Florida,3,250,750
900,2020-07-11,EB517,SCARA Robots,eBooks,1548,Jayson,By,Albany,New York,5,19.5,97.5
901,2020-07-11,DS307,MICR-564K Drone,Drones,616,Alford,Roddy,Grand Rapids,Michigan,3,499,1497
902,2020-07-11,TV802,AI for Educators,Training Videos,1343,Ferd,Sline,Atlanta,Georgia,3,49.95,149.85000000000002
903,2020-07-11,DK205,BYOD-350,Drone Kits,1408,Alejandra,Abry,Long Beach,California,3,89.95,269.85
904,2020-07-11,BP105,Creature Robot Arms Blueprint,Blueprints,714,Kennie,Kington,Dallas,Texas,2,12,24
905,2020-07-11,EB502,Building Your First Robot,eBooks,742,Susana,Baglow,Tacoma,Washington,4,24.95,99.8
906,2020-07-12,DS301,DA-SA702 Drone,Drones,717,Janek,Yerborn,Bronx,New York,2,399,798
907,2020-07-12,DS301,DA-SA702 Drone,Drones,323,Alyda,Lucchi,Houston,Texas,2,399,798
908,2020-07-12,RS706,RWW-75 Robot,Robots,1756,Karney,Giacobazzi,Des Moines,Iowa,1,883,883
909,2020-07-12,RK602,BYOR-1000,Robot Kits,1878,Blake,Heditch,Miami,Florida,5,189,945
910,2020-07-12,EB503,Building Your Own Drone,eBooks,1038,Cynthie,Slocum,Dallas,Texas,3,24.99,74.97
911,2020-07-13,RK605,BYOR-3000,Robot Kits,727,Olivier,Royse,Charleston,West Virginia,2,214,428
912,2020-07-13,EB502,Building Your First Robot,eBooks,1159,Dareen,Kunes,Denver,Colorado,3,24.95,74.85
913,2020-07-13,TV807,Open Source Code,Training Videos,397,Dorian,Softley,Toledo,Ohio,4,32.95,131.8
914,2020-07-13,TV808,Robotic Essentials,Training Videos,1120,Kiersten,Alasdair,Chicago,Illinois,2,34.99,69.98
915,2020-07-13,RS705,RQTE-554 Robot,Robots,1370,Maury,Tarr,Miami,Florida,2,684,1368
916,2020-07-13,TV802,AI for Educators,Training Videos,430,Jobye,Dobbinson,Odessa,Texas,3,49.95,149.85000000000002
917,2020-07-14,BP108,Panda Robot Blueprint,Blueprints,1814,Maryellen,Pirazzi,Huntington,West Virginia,5,7.99,39.95
918,2020-07-14,EB503,Building Your Own Drone,eBooks,498,Rafaellle,Blunsom,Dallas,Texas,2,24.99,49.98
919,2020-07-14,DK204,BYOD-300,Drone Kits,1406,Daphene,Torrecilla,Charlotte,North Carolina,2,89,178
920,2020-07-14,EB507,Drone Building Essentials,eBooks,950,Winfield,Uren,Dayton,Ohio,4,13.99,55.96
921,2020-07-14,TV808,Robotic Essentials,Training Videos,1756,Karney,Giacobazzi,Des Moines,Iowa,5,34.99,174.95000000000002
922,2020-07-14,RK607,BYOR-4005,Robot Kits,677,Dido,Thomazet,Decatur,Georgia,3,245,735
923,2020-07-15,BP109,QuadroCopter Blueprint,Blueprints,470,Angele,Heeley,Springfield,Illinois,3,10.99,32.97
924,2020-07-15,TV812,Understanding Raspberry PI,Training Videos,1209,Mordy,Braunston,Brooklyn,New York,4,28.99,115.96
925,2020-07-15,DK205,BYOD-350,Drone Kits,2102,Ivette,Ashlee,Toledo,Ohio,2,89.95,179.9
926,2020-07-16,BP108,Panda Robot Blueprint,Blueprints,1357,Elisha,Harmstone,College Station,Texas,6,7.99,47.94
927,2020-07-16,BP106,Hexacopter Drone Blueprint,Blueprints,1538,Eugenia,Baiden,Fort Lauderdale,Florida,5,8.99,44.95
928,2020-07-17,BP102,Bsquare Robot Blueprint,Blueprints,679,Starlene,Klausen,Oklahoma City,Oklahoma,2,8.99,17.98
929,2020-07-17,EB503,Building Your Own Drone,eBooks,1171,Jethro,Breagan,Baton Rouge,Louisiana,4,24.99,99.96
930,2020-07-18,BP108,Panda Robot Blueprint,Blueprints,935,Massimo,Ells,San Antonio,Texas,5,7.99,39.95
931,2020-07-18,TV809,Understanding 3D Printing,Training Videos,1872,Allissa,Johananov,Seattle,Washington,5,42.99,214.95000000000002
932,2020-07-18,TV802,AI for Educators,Training Videos,1665,Margeaux,Stygall,Amarillo,Texas,3,49.95,149.85000000000002
933,2020-07-18,TV813,Virtual Reality Basics,Training Videos,614,Munmro,Betke,Garland,Texas,3,29.99,89.97
934,2020-07-18,EB517,SCARA Robots,eBooks,1794,Orazio,Vivian,Los Angeles,California,3,19.5,58.5
935,2020-07-19,TV810,Understanding Automation,Training Videos,1139,Alison,Scranny,Chicago,Illinois,2,44.95,89.9
936,2020-07-19,BP104,Cat Robot Blueprint,Blueprints,98,Anson,Anfusso,Cedar Rapids,Iowa,6,4.99,29.94
937,2020-07-19,RK602,BYOR-1000,Robot Kits,1153,Vonny,Moreton,Las Vegas,Nevada,4,189,756
938,2020-07-19,RS702,MICR-23K Robot,Robots,1809,Saundra,Ambler,Pittsburgh,Pennsylvania,3,899,2697
939,2020-07-19,BP107,Ladybug Robot Blueprint,Blueprints,1225,Chelsy,Collop,Pittsburgh,Pennsylvania,5,12,60
940,2020-07-20,BP108,Panda Robot Blueprint,Blueprints,66,Nickolai,Briton,San Jose,California,2,7.99,15.98
941,2020-07-20,TV808,Robotic Essentials,Training Videos,1259,Elaina,Clemenzi,Great Neck,New York,3,34.99,104.97
942,2020-07-20,DS301,DA-SA702 Drone,Drones,406,Justus,Hamblington,Macon,Georgia,3,399,1197
943,2020-07-20,EB507,Drone Building Essentials,eBooks,648,Betteanne,Tullis,Houston,Texas,4,13.99,55.96
944,2020-07-20,TV804,Drone Video Techniques,Training Videos,184,Tim,Honig,Maple Plain,Minnesota,4,37.99,151.96
945,2020-07-21,EB504,Cartesian Robots,eBooks,820,Charlena,Mayworth,Juneau,Alaska,3,12.99,38.97
946,2020-07-21,DK201,BYOD-100,Drone Kits,654,Lily,Holbury,Charlotte,North Carolina,5,54,270
947,2020-07-21,DS306,DX-145 Drone,Drones,1183,Monte,Ghelerdini,Dallas,Texas,2,250,500
948,2020-07-21,RK603,BYOR-1500,Robot Kits,1121,Jon,Pau,Miami,Florida,4,189,756
949,2020-07-21,EB505,Delivery Drones,eBooks,652,Jack,Dobby,Sacramento,California,2,14.99,29.98
950,2020-07-21,EB514,Polar Robots,eBooks,1284,Harriette,Cuckoo,Washington,District of Columbia,5,23.99,119.94999999999999
951,2020-07-21,DK203,BYOD-220,Drone Kits,155,Siobhan,Gildea,Fort Wayne,Indiana,4,69,276
952,2020-07-21,TV802,AI for Educators,Training Videos,1202,Genni,Masic,Greeley,Colorado,4,49.95,199.8
953,2020-07-21,RK603,BYOR-1500,Robot Kits,222,Rosie,Primak,Reno,Nevada,3,189,567
954,2020-07-22,DS303,DTD-7000 Drone,Drones,1806,Nolana,Duplain,Corpus Christi,Texas,3,450,1350
955,2020-07-22,DS303,DTD-7000 Drone,Drones,1840,Fawne,Mussared,Pompano Beach,Florida,4,450,1800
956,2020-07-22,DS301,DA-SA702 Drone,Drones,1108,Kirsti,Clericoates,Youngstown,Ohio,4,399,1596
957,2020-07-22,TV804,Drone Video Techniques,Training Videos,254,Megen,Colborn,Canton,Ohio,1,37.99,37.99
958,2020-07-22,RK607,BYOR-4005,Robot Kits,134,Abramo,Jentzsch,Fullerton,California,4,245,980
959,2020-07-22,TV807,Open Source Code,Training Videos,906,Kitty,Brewitt,Flint,Michigan,5,32.95,164.75
960,2020-07-22,EB503,Building Your Own Drone,eBooks,1226,Bail,MacKintosh,Lincoln,Nebraska,3,24.99,74.97
961,2020-07-22,RK606,BYOR-3535,Robot Kits,863,Kassey,Winfindale,Houston,Texas,6,225,1350
962,2020-07-23,TV810,Understanding Automation,Training Videos,2107,Kathlin,Agar,Atlanta,Georgia,4,44.95,179.8
963,2020-07-23,RS707,RXW-9807 Robot,Robots,75,Shaine,Gumme,Oklahoma City,Oklahoma,5,599,2995
964,2020-07-23,DK201,BYOD-100,Drone Kits,1651,Allsun,Meiner,San Francisco,California,2,54,108
965,2020-07-23,EB512,Multi Rotor Drones,eBooks,1916,Haley,Carff,Columbus,Ohio,2,24.95,49.9
966,2020-07-24,EB508,Fixed Wing Drones,eBooks,603,Merci,Anning,Wilmington,Delaware,2,15.5,31
967,2020-07-24,TV808,Robotic Essentials,Training Videos,1184,Haslett,Grayling,Los Angeles,California,3,34.99,104.97
968,2020-07-25,BP110,Sleepy Eye Blueprint,Blueprints,575,Roby,Gilbey,Manassas,Virginia,5,11.99,59.95
969,2020-07-26,DS306,DX-145 Drone,Drones,2000,Rhoda,Bagge,Saint Paul,Minnesota,1,250,250
970,2020-07-26,DS305,DTI-84 Drone,Drones,1672,Giusto,Dykes,Portsmouth,New Hampshire,5,455,2275
971,2020-07-26,DS302,DC-304 Drone,Drones,576,Debor,Agronski,Clearwater,Florida,6,395,2370
972,2020-07-26,EB501,Articulated Robots,eBooks,1055,Brinna,Suddock,San Diego,California,5,23.99,119.94999999999999
973,2020-07-27,TV802,AI for Educators,Training Videos,1303,Regine,Christoffe,Baltimore,Maryland,1,49.95,49.95
974,2020-07-27,BP105,Creature Robot Arms Blueprint,Blueprints,27,Jacki,Kleinzweig,Chandler,Arizona,5,12,60
975,2020-07-28,RK605,BYOR-3000,Robot Kits,881,Deane,Bromage,Bellevue,Washington,4,214,856
976,2020-07-28,RS705,RQTE-554 Robot,Robots,1661,Robin,Scambler,Albuquerque,New Mexico,2,684,1368
977,2020-07-28,EB519,Spherical Robots,eBooks,591,Zorah,Sarrell,Charlotte,North Carolina,5,16.75,83.75
978,2020-07-28,EB513,Photograph Drones,eBooks,1353,Sigmund,Bodycote,Oklahoma City,Oklahoma,3,14.99,44.97
979,2020-07-29,TV809,Understanding 3D Printing,Training Videos,1179,Hope,Trask,Phoenix,Arizona,1,42.99,42.99
980,2020-07-29,RS707,RXW-9807 Robot,Robots,351,Vitoria,Kirkhouse,Boston,Massachusetts,6,599,3594
981,2020-07-29,TV809,Understanding 3D Printing,Training Videos,228,Tina,Argontt,Washington,District of Columbia,4,42.99,171.96
982,2020-07-29,BP109,QuadroCopter Blueprint,Blueprints,1060,Leland,Andrysek,Washington,District of Columbia,5,10.99,54.95
983,2020-07-29,BP110,Sleepy Eye Blueprint,Blueprints,10,Andy,Woodruff,Rochester,New York,4,11.99,47.96
984,2020-07-29,TV809,Understanding 3D Printing,Training Videos,674,Danyette,Piatek,Rochester,New York,3,42.99,128.97
985,2020-07-29,RK607,BYOR-4005,Robot Kits,1834,Randie,Keeling,Daytona Beach,Florida,3,245,735
986,2020-07-30,DK208,BYOD-500,Drone Kits,1411,Ruthanne,Vernon,Minneapolis,Minnesota,5,167,835
987,2020-07-30,RS703,RCB-889 Robot,Robots,914,Whitby,MacDowal,San Diego,California,5,549,2745
988,2020-07-30,BP109,QuadroCopter Blueprint,Blueprints,499,Bert,Girardi,Bonita Springs,Florida,2,10.99,21.98
989,2020-07-30,TV809,Understanding 3D Printing,Training Videos,1524,Buffy,Mourant,Evansville,Indiana,4,42.99,171.96
990,2020-07-30,DK201,BYOD-100,Drone Kits,2110,Vivianne,Nemchinov,Temple,Texas,4,54,216
991,2020-07-30,DK207,BYOD-400S,Drone Kits,673,Duky,Theodoris,Albany,New York,3,129.95,389.84999999999997
992,2020-07-31,TV806,Mapping with Drones,Training Videos,382,Vivian,Andretti,Reading,Pennsylvania,2,49,98
993,2020-07-31,DK205,BYOD-350,Drone Kits,437,Rafael,Richly,Miami Beach,Florida,4,89.95,359.8
994,2020-07-31,RK607,BYOR-4005,Robot Kits,483,Karia,Gladdolph,Decatur,Illinois,3,245,735
995,2020-07-31,RS704,RLK-9920 Robot,Robots,575,Roby,Gilbey,Manassas,Virginia,5,699,3495
996,2020-08-01,DS305,DTI-84 Drone,Drones,1943,Jermaine,Brecknock,Brooklyn,New York,3,455,1365
997,2020-08-01,BP107,Ladybug Robot Blueprint,Blueprints,1310,Kathe,Duesbury,Seattle,Washington,2,12,24
998,2020-08-02,BP105,Creature Robot Arms Blueprint,Blueprints,1012,Berk,Feenan,Shreveport,Louisiana,4,12,48
999,2020-08-02,DK208,BYOD-500,Drone Kits,504,Derrek,Shalloo,Yakima,Washington,3,167,501
1000,2020-08-03,TV811,Understanding Drone Regulations,Training Videos,1342,Far,Pow,Columbus,Mississippi,4,27.5,110
1001,2020-08-03,RK607,BYOR-4005,Robot Kits,1923,Stanton,Hasnip,Tucson,Arizona,4,245,980
1002,2020-08-03,BP110,Sleepy Eye Blueprint,Blueprints,1292,Scottie,Winear,Valley Forge,Pennsylvania,2,11.99,23.98
1003,2020-08-03,BP104,Cat Robot Blueprint,Blueprints,1257,Benito,Chitty,Huntington,West Virginia,2,4.99,9.98
1004,2020-08-03,RK605,BYOR-3000,Robot Kits,1435,Dede,Templar,Newark,New Jersey,4,214,856
1005,2020-08-03,BP106,Hexacopter Drone Blueprint,Blueprints,1746,Stormy,Ibbs,Pasadena,California,3,8.99,26.97
1006,2020-08-03,DK207,BYOD-400S,Drone Kits,1450,Estel,Hamprecht,Nashville,Tennessee,3,129.95,389.84999999999997
1007,2020-08-03,EB505,Delivery Drones,eBooks,1371,Nissy,Guion,Sacramento,California,4,14.99,59.96
1008,2020-08-03,DS307,MICR-564K Drone,Drones,695,Hillyer,Pead,Denver,Colorado,5,499,2495
1009,2020-08-04,EB519,Spherical Robots,eBooks,1461,Hyatt,Darwent,Arlington,Virginia,6,16.75,100.5
1010,2020-08-04,DK203,BYOD-220,Drone Kits,143,Margery,Pourvoieur,Fort Pierce,Florida,5,69,345
1011,2020-08-04,EB517,SCARA Robots,eBooks,720,Rhody,Hankey,Saint Louis,Missouri,4,19.5,78
1012,2020-08-04,DK208,BYOD-500,Drone Kits,787,Purcell,Dubose,Sioux City,Iowa,5,167,835
1013,2020-08-04,DK208,BYOD-500,Drone Kits,1468,Milty,Taree,Petaluma,California,3,167,501
1014,2020-08-05,DS304,DTE-QFN20 Drone,Drones,728,Charmian,Vanderson,Chicago,Illinois,4,250,1000
1015,2020-08-06,EB506,Delta Robots,eBooks,181,Bibby,Yerrington,Ann Arbor,Michigan,5,16.99,84.94999999999999
1016,2020-08-06,RK603,BYOR-1500,Robot Kits,931,Rodi,Barff,Houston,Texas,2,189,378
1017,2020-08-06,RS707,RXW-9807 Robot,Robots,1786,Vivi,Oels,Tucson,Arizona,1,599,599
1018,2020-08-06,EB513,Photograph Drones,eBooks,1851,Suki,Dixcee,Lafayette,Louisiana,4,14.99,59.96
1019,2020-08-06,DK206,BYOD-400,Drone Kits,736,Ermin,Matlock,Washington,District of Columbia,2,119,238
1020,2020-08-06,DS301,DA-SA702 Drone,Drones,1042,Lea,Poland,Lexington,Kentucky,2,399,798
1021,2020-08-07,EB512,Multi Rotor Drones,eBooks,1636,Selia,Risdale,Salt Lake City,Utah,4,24.95,99.8
1022,2020-08-07,RS703,RCB-889 Robot,Robots,2073,Dianne,Keasy,Phoenix,Arizona,2,549,1098
1023,2020-08-07,RS706,RWW-75 Robot,Robots,274,Gennie,Kinge,Sacramento,California,5,883,4415
1024,2020-08-07,EB501,Articulated Robots,eBooks,465,Germaine,Farran,Boise,Idaho,4,23.99,95.96
1025,2020-08-08,EB505,Delivery Drones,eBooks,1770,Sibyl,Ibbison,Bloomington,Illinois,6,14.99,89.94
1026,2020-08-08,DS304,DTE-QFN20 Drone,Drones,1725,Carlyn,Syce,Birmingham,Alabama,4,250,1000
1027,2020-08-08,BP102,Bsquare Robot Blueprint,Blueprints,169,Ibby,Romer,Wilmington,Delaware,5,8.99,44.95
1028,2020-08-08,RS702,MICR-23K Robot,Robots,970,Magdalena,Nurdin,Roanoke,Virginia,4,899,3596
1029,2020-08-08,EB519,Spherical Robots,eBooks,1838,Dionisio,Van Giffen,Fort Lauderdale,Florida,2,16.75,33.5
1030,2020-08-09,RS702,MICR-23K Robot,Robots,1733,Briant,Wybrow,Washington,District of Columbia,2,899,1798
1031,2020-08-09,RS706,RWW-75 Robot,Robots,1780,Katleen,Rumford,Indianapolis,Indiana,3,883,2649
1032,2020-08-09,DS302,DC-304 Drone,Drones,1310,Kathe,Duesbury,Seattle,Washington,4,395,1580
1033,2020-08-09,DK204,BYOD-300,Drone Kits,1331,Becka,Hegden,Newark,Delaware,4,89,356
1034,2020-08-09,BP109,QuadroCopter Blueprint,Blueprints,1294,Stuart,Ruberti,Phoenix,Arizona,4,10.99,43.96
1035,2020-08-10,RK606,BYOR-3535,Robot Kits,1398,Noam,Mariyushkin,Louisville,Kentucky,4,225,900
1036,2020-08-10,TV813,Virtual Reality Basics,Training Videos,1886,Trista,Orsman,Muncie,Indiana,3,29.99,89.97
1037,2020-08-10,DK204,BYOD-300,Drone Kits,1230,Rosita,Baswall,Staten Island,New York,3,89,267
1038,2020-08-10,TV804,Drone Video Techniques,Training Videos,154,Frank,Martini,Chicago,Illinois,3,37.99,113.97
1039,2020-08-10,DK207,BYOD-400S,Drone Kits,620,Silvano,Instrell,Norwalk,Connecticut,2,129.95,259.9
1040,2020-08-11,RK607,BYOR-4005,Robot Kits,1706,Clemence,McKinstry,Denver,Colorado,3,245,735
1041,2020-08-11,EB518,Single Rotor Drones,eBooks,929,Laney,Olford,North Las Vegas,Nevada,4,14.99,59.96
1042,2020-08-11,TV806,Mapping with Drones,Training Videos,1230,Rosita,Baswall,Staten Island,New York,4,49,196
1043,2020-08-11,DK202,BYOD-200,Drone Kits,1058,Carly,Lots,Houston,Texas,4,58.95,235.8
1044,2020-08-11,DS301,DA-SA702 Drone,Drones,334,Flinn,Neate,Bakersfield,California,5,399,1995
1045,2020-08-12,EB504,Cartesian Robots,eBooks,500,Ingamar,Johanning,Kansas City,Kansas,2,12.99,25.98
1046,2020-08-12,RK602,BYOR-1000,Robot Kits,1293,Godiva,Jirusek,Indianapolis,Indiana,2,189,378
1047,2020-08-12,EB506,Delta Robots,eBooks,1951,Tracy,Marians,Corona,California,2,16.99,33.98
1048,2020-08-13,EB501,Articulated Robots,eBooks,266,Waring,Pickering,Alexandria,Louisiana,2,23.99,47.98
1049,2020-08-14,TV811,Understanding Drone Regulations,Training Videos,1530,Jefferson,Aers,Reno,Nevada,1,27.5,27.5
1050,2020-08-15,EB520,Understanding Arduino,eBooks,1174,Matty,Monnoyer,Wilmington,Delaware,5,17.5,87.5
1051,2020-08-15,RS706,RWW-75 Robot,Robots,47,Gabby,MacLennan,Wilkes Barre,Pennsylvania,3,883,2649
1052,2020-08-15,DS304,DTE-QFN20 Drone,Drones,1161,Gabie,Enoch,Zephyrhills,Florida,5,250,1250
1053,2020-08-15,TV811,Understanding Drone Regulations,Training Videos,272,Hendrika,Charlo,Concord,California,2,27.5,55
1054,2020-08-15,RK604,BYOR-2640S,Robot Kits,489,Wynn,Thom,Kent,Washington,4,189,756
1055,2020-08-15,RK605,BYOR-3000,Robot Kits,1992,Goldina,Baldacchi,Bronx,New York,3,214,642
1056,2020-08-15,BP108,Panda Robot Blueprint,Blueprints,2079,Herb,Antonetti,Chattanooga,Tennessee,3,7.99,23.97
1057,2020-08-16,DK207,BYOD-400S,Drone Kits,1300,Vernice,Elvidge,Houston,Texas,3,129.95,389.84999999999997
1058,2020-08-16,TV805,Industrial 3D Printing,Training Videos,146,Monte,Scutter,Newark,New Jersey,6,49,294
1059,2020-08-16,EB517,SCARA Robots,eBooks,360,Thatcher,McQuillan,Pompano Beach,Florida,1,19.5,19.5
1060,2020-08-16,EB509,GPS Drones,eBooks,200,Lianne,Chippindall,Washington,District of Columbia,4,19.99,79.96
1061,2020-08-17,RS704,RLK-9920 Robot,Robots,1003,Barde,Le feuvre,Memphis,Tennessee,6,699,4194
1062,2020-08-17,RS705,RQTE-554 Robot,Robots,429,Gerard,Boutell,Woburn,Massachusetts,4,684,2736
1063,2020-08-17,BP106,Hexacopter Drone Blueprint,Blueprints,1122,Billie,Barnewille,Lexington,Kentucky,4,8.99,35.96
1064,2020-08-17,BP106,Hexacopter Drone Blueprint,Blueprints,1434,Nicola,Fulham,San Francisco,California,3,8.99,26.97
1065,2020-08-17,BP101,All Eyes Drone Blueprint,Blueprints,1050,Stormi,Forty,Worcester,Massachusetts,4,9.99,39.96
1066,2020-08-17,TV802,AI for Educators,Training Videos,1723,Care,Caccavella,San Francisco,California,3,49.95,149.85000000000002
1067,2020-08-17,DK202,BYOD-200,Drone Kits,329,Jenda,Wiley,Huntington,West Virginia,5,58.95,294.75
1068,2020-08-17,DS302,DC-304 Drone,Drones,1334,Adel,Duberry,Trenton,New Jersey,4,395,1580
1069,2020-08-18,BP108,Panda Robot Blueprint,Blueprints,221,Sheena,Steuhlmeyer,Albuquerque,New Mexico,2,7.99,15.98
1070,2020-08-18,RK607,BYOR-4005,Robot Kits,1908,Cameron,Filipiak,Portsmouth,New Hampshire,2,245,490
1071,2020-08-18,BP104,Cat Robot Blueprint,Blueprints,559,Ignacius,Belchem,Dayton,Ohio,5,4.99,24.950000000000003
1072,2020-08-19,TV813,Virtual Reality Basics,Training Videos,143,Margery,Pourvoieur,Fort Pierce,Florida,3,29.99,89.97
1073,2020-08-19,RS703,RCB-889 Robot,Robots,1121,Jon,Pau,Miami,Florida,4,549,2196
1074,2020-08-19,EB512,Multi Rotor Drones,eBooks,305,Corny,Sowrah,Bronx,New York,4,24.95,99.8
1075,2020-08-19,EB511,Helicopter Drones,eBooks,1859,Bastien,Di Boldi,San Bernardino,California,4,20.95,83.8
1076,2020-08-20,RS702,MICR-23K Robot,Robots,968,Tommie,Schultze,Fort Wayne,Indiana,4,899,3596
1077,2020-08-20,EB516,RTF Drones,eBooks,965,Andonis,Barszczewski,Hartford,Connecticut,4,16.99,67.96
1078,2020-08-21,DK201,BYOD-100,Drone Kits,1018,Dalenna,Oliver-Paull,Fort Wayne,Indiana,2,54,108
1079,2020-08-21,DS302,DC-304 Drone,Drones,37,Othilie,Cicullo,Fort Wayne,Indiana,3,395,1185
1080,2020-08-21,DK209,BYOD-550,Drone Kits,974,Leslie,Probet,Spokane,Washington,5,179,895
1081,2020-08-21,RS706,RWW-75 Robot,Robots,1479,Lilith,Hughes,Phoenix,Arizona,1,883,883
1082,2020-08-22,DK208,BYOD-500,Drone Kits,379,Alaster,Chesnay,Battle Creek,Michigan,4,167,668
1083,2020-08-22,DS301,DA-SA702 Drone,Drones,130,Heidie,Winyard,Saginaw,Michigan,5,399,1995
1084,2020-08-22,EB506,Delta Robots,eBooks,601,Winnie,Mizzen,Youngstown,Ohio,3,16.99,50.97
1085,2020-08-22,EB518,Single Rotor Drones,eBooks,1837,Avrom,Fullagar,Schaumburg,Illinois,2,14.99,29.98
1086,2020-08-22,EB514,Polar Robots,eBooks,1549,Harlan,Faulconer,Galveston,Texas,4,23.99,95.96
1087,2020-08-22,BP107,Ladybug Robot Blueprint,Blueprints,494,Ransom,Arthars,Humble,Texas,5,12,60
1088,2020-08-22,EB518,Single Rotor Drones,eBooks,545,Tessa,Charette,Akron,Ohio,5,14.99,74.95
1089,2020-08-23,EB520,Understanding Arduino,eBooks,1876,Theda,Zimmerman,Lexington,Kentucky,2,17.5,35
1090,2020-08-24,DK201,BYOD-100,Drone Kits,542,Berkie,Jentges,Buffalo,New York,4,54,216
1091,2020-08-24,BP110,Sleepy Eye Blueprint,Blueprints,2047,Eddie,Kennaway,Miami,Florida,2,11.99,23.98
1092,2020-08-24,RK604,BYOR-2640S,Robot Kits,356,Velma,Haws,Sacramento,California,3,189,567
1093,2020-08-24,DK205,BYOD-350,Drone Kits,886,Ronny,Joannet,San Antonio,Texas,4,89.95,359.8
1094,2020-08-24,RK602,BYOR-1000,Robot Kits,1102,Roland,Shiel,Brooklyn,New York,6,189,1134
1095,2020-08-24,DK203,BYOD-220,Drone Kits,1716,Vernon,de Almeida,Philadelphia,Pennsylvania,4,69,276
1096,2020-08-24,DK202,BYOD-200,Drone Kits,793,Fonzie,Casero,Peoria,Illinois,4,58.95,235.8
1097,2020-08-24,EB516,RTF Drones,eBooks,185,Umberto,Lamboll,Fresno,California,3,16.99,50.97
1098,2020-08-25,BP101,All Eyes Drone Blueprint,Blueprints,1480,Bryna,Cumberpatch,Birmingham,Alabama,2,9.99,19.98
1099,2020-08-25,TV803,Cloud Computing,Training Videos,1732,Brett,Blues,Springfield,Missouri,5,29.99,149.95
1100,2020-08-25,DK206,BYOD-400,Drone Kits,1679,Carlie,Matthieson,Young America,Minnesota,4,119,476
1101,2020-08-25,BP108,Panda Robot Blueprint,Blueprints,287,Elna,De Angelo,Honolulu,Hawaii,4,7.99,31.96
1102,2020-08-25,DK204,BYOD-300,Drone Kits,420,Brigham,Kemet,Chicago,Illinois,5,89,445
1103,2020-08-26,DS303,DTD-7000 Drone,Drones,448,Maud,Kattenhorn,Apache Junction,Arizona,5,450,2250
1104,2020-08-26,RK604,BYOR-2640S,Robot Kits,66,Nickolai,Briton,San Jose,California,3,189,567
1105,2020-08-26,EB504,Cartesian Robots,eBooks,818,Reinwald,Alekseev,Olympia,Washington,4,12.99,51.96
1106,2020-08-26,EB519,Spherical Robots,eBooks,707,Dionne,Armytage,Riverside,California,6,16.75,100.5
1107,2020-08-27,RK606,BYOR-3535,Robot Kits,1504,Lorilee,Horsley,Fort Worth,Texas,2,225,450
1108,2020-08-27,DS301,DA-SA702 Drone,Drones,2005,Grady,Shand,Saint Petersburg,Florida,2,399,798
1109,2020-08-27,TV801,Aerial Security,Training Videos,213,Isidor,Asman,Pasadena,California,3,36.99,110.97
1110,2020-08-27,TV804,Drone Video Techniques,Training Videos,1335,Elora,Ponde,Port Washington,New York,3,37.99,113.97
1111,2020-08-27,DS301,DA-SA702 Drone,Drones,666,Swen,Godsell,Charlotte,North Carolina,3,399,1197
1112,2020-08-28,RS702,MICR-23K Robot,Robots,1161,Gabie,Enoch,Zephyrhills,Florida,6,899,5394
1113,2020-08-28,RS707,RXW-9807 Robot,Robots,522,Patricia,Sherrott,Newark,Delaware,3,599,1797
1114,2020-08-28,EB511,Helicopter Drones,eBooks,1582,Kimberley,Lye,Syracuse,New York,1,20.95,20.95
1115,2020-08-28,DS305,DTI-84 Drone,Drones,319,Hartwell,Docwra,Denver,Colorado,3,455,1365
1116,2020-08-29,RK607,BYOR-4005,Robot Kits,1481,Viviyan,De Micoli,El Paso,Texas,2,245,490
1117,2020-08-29,BP108,Panda Robot Blueprint,Blueprints,1268,Bev,Megainey,Boston,Massachusetts,6,7.99,47.94
1118,2020-08-29,EB511,Helicopter Drones,eBooks,314,Morgen,Meneer,Daytona Beach,Florida,1,20.95,20.95
1119,2020-08-29,RS704,RLK-9920 Robot,Robots,1016,Lily,O'Reilly,Winter Haven,Florida,5,699,3495
1120,2020-08-30,DK208,BYOD-500,Drone Kits,788,Mason,Caddan,Decatur,Georgia,3,167,501
1121,2020-08-30,EB505,Delivery Drones,eBooks,1632,Marielle,Gasquoine,Spring,Texas,2,14.99,29.98
1122,2020-08-31,DK202,BYOD-200,Drone Kits,1645,Amberly,Corney,Columbia,South Carolina,4,58.95,235.8
1123,2020-08-31,TV808,Robotic Essentials,Training Videos,2025,Alfie,Dinse,Simi Valley,California,2,34.99,69.98
